check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-22T06:42:59.920776+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-22T06:42:59.920794+05:30
tls,pass,TLS certificate valid,,2026-09-22T06:43:00.824229+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),https://npa.gov.lk/,2026-09-22T06:43:49.846446+05:30
http,pass,Probe 2: HTTP 200 at http://npa.gov.lk/,http://npa.gov.lk/,2026-09-22T06:43:49.846462+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),https://npa.gov.lk/,2026-09-22T06:43:49.846467+05:30
http,pass,Probe 4: HTTP 200 at http://npa.gov.lk/,http://npa.gov.lk/,2026-09-22T06:43:49.846471+05:30
http,pass,Probe 5: HTTP 200 at http://npa.gov.lk/?page_id=587,http://npa.gov.lk/?page_id=587,2026-09-22T06:43:49.846474+05:30
http,pass,Probe 6: HTTP 200 at http://npa.gov.lk/?page_id=401,http://npa.gov.lk/?page_id=401,2026-09-22T06:43:49.846476+05:30
http,pass,Probe 7: HTTP 200 at http://npa.gov.lk/?page_id=416,http://npa.gov.lk/?page_id=416,2026-09-22T06:43:49.846479+05:30
http,pass,Probe 8: HTTP 200 at http://npa.gov.lk/?page_id=468,http://npa.gov.lk/?page_id=468,2026-09-22T06:43:49.846481+05:30
http,pass,Probe 9: HTTP 200 at http://npa.gov.lk/?page_id=537,http://npa.gov.lk/?page_id=537,2026-09-22T06:43:49.846484+05:30
http,pass,Probe 10: HTTP 200 at http://npa.gov.lk/?page_id=1270,http://npa.gov.lk/?page_id=1270,2026-09-22T06:43:49.846486+05:30
http,pass,Probe 11: HTTP 200 at http://npa.gov.lk/?page_id=1081,http://npa.gov.lk/?page_id=1081,2026-09-22T06:43:49.846489+05:30
http,pass,Probe 12: HTTP 200 at http://npa.gov.lk/?page_id=911,http://npa.gov.lk/?page_id=911,2026-09-22T06:43:49.846492+05:30
http,pass,Probe 13: HTTP 200 at http://npa.gov.lk/?page_id=438,http://npa.gov.lk/?page_id=438,2026-09-22T06:43:49.846495+05:30
http,pass,Probe 14: HTTP 200 at http://npa.gov.lk/?page_id=921,http://npa.gov.lk/?page_id=921,2026-09-22T06:43:49.846498+05:30
phone,pass,Published phone: +94) 31 2226777,http://npa.gov.lk/,
phone,pass,Published phone: 0.220.110.149,http://npa.gov.lk/,
phone,pass,Published phone: +94) 31 2222201,http://npa.gov.lk/,
phone,pass,Published phone: +94) 31 2222201 ,http://npa.gov.lk/,
email,pass,Published email: academy@police.gov.lk,http://npa.gov.lk/,
named_responsibility,pass,Published named responsibility: division,http://npa.gov.lk/,
legal_basis,pass,Published legal basis: gazette,http://npa.gov.lk/,
phone,pass,Published phone: +94) 31 2226777,http://npa.gov.lk/,
phone,pass,Published phone: 0.220.110.149,http://npa.gov.lk/,
phone,pass,Published phone: +94) 31 2222201,http://npa.gov.lk/,
phone,pass,Published phone: +94) 31 2222201 ,http://npa.gov.lk/,
email,pass,Published email: academy@police.gov.lk,http://npa.gov.lk/,
named_responsibility,pass,Published named responsibility: division,http://npa.gov.lk/,
legal_basis,pass,Published legal basis: gazette,http://npa.gov.lk/,
phone,pass,Published phone: 0.220.110.149,http://npa.gov.lk/?page_id=587,
phone,pass,Published phone: +94) 31 2222201 ,http://npa.gov.lk/?page_id=587,
email,pass,Published email: academy@police.gov.lk,http://npa.gov.lk/?page_id=587,
named_responsibility,pass,Published named responsibility: division,http://npa.gov.lk/?page_id=587,
legal_basis,pass,Published legal basis: gazette,http://npa.gov.lk/?page_id=587,
phone,pass,Published phone: 0.220.110.149,http://npa.gov.lk/?page_id=401,
phone,pass,Published phone: +94) 31 2222201 ,http://npa.gov.lk/?page_id=401,
email,pass,Published email: academy@police.gov.lk,http://npa.gov.lk/?page_id=401,
postal_address,pass,"Published postal address: of Bellanthara Junction, Aththidiya Road, Mount Lavinia. After the establishment of the Sri Lanka Police Academy, the ‘P",http://npa.gov.lk/?page_id=401,
named_responsibility,pass,Published named responsibility: director,http://npa.gov.lk/?page_id=401,
legal_basis,pass,Published legal basis: gazette,http://npa.gov.lk/?page_id=401,
phone,pass,Published phone: 0.220.110.149,http://npa.gov.lk/?page_id=416,
phone,pass,Published phone: +94) 31 2222201 ,http://npa.gov.lk/?page_id=416,
email,pass,Published email: academy@police.gov.lk,http://npa.gov.lk/?page_id=416,
named_responsibility,pass,Published named responsibility: division,http://npa.gov.lk/?page_id=416,
legal_basis,pass,Published legal basis: gazette,http://npa.gov.lk/?page_id=416,
phone,pass,Published phone: 0.220.110.149,http://npa.gov.lk/?page_id=468,
phone,pass,Published phone: +94) 31 2222201 ,http://npa.gov.lk/?page_id=468,
email,pass,Published email: academy@police.gov.lk,http://npa.gov.lk/?page_id=468,
named_responsibility,pass,Published named responsibility: director,http://npa.gov.lk/?page_id=468,
legal_basis,pass,Published legal basis: gazette,http://npa.gov.lk/?page_id=468,
phone,pass,Published phone: 0.220.110.149,http://npa.gov.lk/?page_id=537,
phone,pass,Published phone: +94) 31 2222201 ,http://npa.gov.lk/?page_id=537,
email,pass,Published email: academy@police.gov.lk,http://npa.gov.lk/?page_id=537,
named_responsibility,pass,Published named responsibility: director,http://npa.gov.lk/?page_id=537,
legal_basis,pass,Published legal basis: gazette,http://npa.gov.lk/?page_id=537,
phone,pass,Published phone: 0.220.110.149,http://npa.gov.lk/?page_id=1270,
phone,pass,Published phone: +94) 31 2222201 ,http://npa.gov.lk/?page_id=1270,
email,pass,Published email: academy@police.gov.lk,http://npa.gov.lk/?page_id=1270,
named_responsibility,pass,Published named responsibility: division,http://npa.gov.lk/?page_id=1270,
legal_basis,pass,Published legal basis: gazette,http://npa.gov.lk/?page_id=1270,
phone,pass,Published phone: 0.220.110.149,http://npa.gov.lk/?page_id=1081,
phone,pass,Published phone: +94) 31 2222201 ,http://npa.gov.lk/?page_id=1081,
email,pass,Published email: academy@police.gov.lk,http://npa.gov.lk/?page_id=1081,
named_responsibility,pass,Published named responsibility: division,http://npa.gov.lk/?page_id=1081,
legal_basis,pass,Published legal basis: gazette,http://npa.gov.lk/?page_id=1081,
phone,pass,Published phone: 0.220.110.149,http://npa.gov.lk/?page_id=911,
phone,pass,Published phone: +94) 31 2222201 ,http://npa.gov.lk/?page_id=911,
email,pass,Published email: academy@police.gov.lk,http://npa.gov.lk/?page_id=911,
named_responsibility,pass,Published named responsibility: division,http://npa.gov.lk/?page_id=911,
legal_basis,pass,Published legal basis: gazette,http://npa.gov.lk/?page_id=911,
phone,pass,Published phone: 0.220.110.149,http://npa.gov.lk/?page_id=438,
phone,pass,Published phone: +94) 31 2222201 ,http://npa.gov.lk/?page_id=438,
email,pass,Published email: academy@police.gov.lk,http://npa.gov.lk/?page_id=438,
named_responsibility,pass,Published named responsibility: division,http://npa.gov.lk/?page_id=438,
legal_basis,pass,Published legal basis: gazette,http://npa.gov.lk/?page_id=438,
