check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-19T06:26:02.274058+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-19T06:26:02.274086+05:30
tls,pass,TLS certificate valid,,2026-09-19T06:26:03.472073+05:30
http,pass,Probe 1: HTTP 200 at https://www.sdc.gov.lk/,https://www.sdc.gov.lk/,2026-09-19T06:28:11.583025+05:30
http,pass,Probe 2: HTTP 200 at https://www.sdc.gov.lk/,http://www.sdc.gov.lk/,2026-09-19T06:28:11.583049+05:30
http,pass,Probe 3: HTTP 200 at https://www.sdc.gov.lk/,https://www.sdc.gov.lk/,2026-09-19T06:28:11.583053+05:30
http,pass,Probe 4: HTTP 200 at https://www.sdc.gov.lk/,http://www.sdc.gov.lk/,2026-09-19T06:28:11.583056+05:30
http,pass,Probe 5: HTTP 200 at https://www.sdc.gov.lk/en/contact,https://www.sdc.gov.lk/en/contact,2026-09-19T06:28:11.583059+05:30
http,pass,Probe 6: HTTP 200 at https://www.sdc.gov.lk/en,https://www.sdc.gov.lk/en,2026-09-19T06:28:11.583063+05:30
http,pass,Probe 7: HTTP 200 at https://www.sdc.gov.lk/si,https://www.sdc.gov.lk/si,2026-09-19T06:28:11.583065+05:30
http,pass,Probe 8: HTTP 200 at https://www.sdc.gov.lk/en/,https://www.sdc.gov.lk/en/,2026-09-19T06:28:11.583068+05:30
http,pass,Probe 9: HTTP 200 at https://www.sdc.gov.lk/en/leadership,https://www.sdc.gov.lk/en/leadership,2026-09-19T06:28:11.583071+05:30
http,pass,Probe 10: HTTP 200 at https://www.sdc.gov.lk/en/director-general,https://www.sdc.gov.lk/en/director-general,2026-09-19T06:28:11.583074+05:30
http,pass,Probe 11: HTTP 200 at https://www.sdc.gov.lk/en/staff,https://www.sdc.gov.lk/en/staff,2026-09-19T06:28:11.583077+05:30
http,pass,Probe 12: HTTP 200 at https://www.sdc.gov.lk/en/sustainable-development-goals,https://www.sdc.gov.lk/en/sustainable-development-goals,2026-09-19T06:28:11.583079+05:30
http,pass,Probe 13: HTTP 200 at https://www.sdc.gov.lk/en/agencies/19/12,https://www.sdc.gov.lk/en/agencies/19/12,2026-09-19T06:28:11.583081+05:30
http,pass,Probe 14: HTTP 200 at https://www.sdc.gov.lk/en/events,https://www.sdc.gov.lk/en/events,2026-09-19T06:28:11.583084+05:30
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/en/contact,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/en/contact,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/en/contact,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/en/contact,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/en/contact,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/en/contact,
postal_address,pass,"Published postal address: 2nd Floor, Lake House Building, D.R Wijayawardana MW, Colombo 10, Sri Lanka",https://www.sdc.gov.lk/en/contact,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/en/contact,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/en,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/en,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/en,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/en,
